"id","profileName","text","date","title","rating","images","helpful","variant:tamaño","variant:tipo de paquete del cliente"
"RIHTZD3ZFY73K","Ruth Mondragón","He utilizado otras marcas supuestamente mejores que me causaban alergía por el polvo que sueltan y que solo tapan los olores con la fragancia que contienen. Dr. Elsey's me encanta porque no suelta nada de polvo y de verdad neutraliza los malos olores sin fragancias. Aparte a mis gatos les gustó mucho, hasta ronronean cuando van a su arenero y no se les queda pegada en sus patitas. MUY RECOMENDABLE.","Revisado en México el 14 de marzo de 2022","Excelente Arena","5.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R2IF1FODXAHDTY","Rodrigo DC","Caro para lo que es","Revisado en México el 9 de febrero de 2022","Nada especial","3.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R2JXOO5DYJ5UYY","Cliente de Amazon","Después de probar varias arenas encontré que está es la mejor, aglutina muy bien y lo mejor es que absorbe los olores como ninguna otra, muy recomendada!!","Revisado en México el 21 de diciembre de 2021","La mejor arena que he probado","5.0 de 5 estrellas","","0","18 lb","empaque estándar"
"RXQ9CJKGMJ6Z7","Brenda","Fácil de Limpiar","Revisado en México el 15 de diciembre de 2021","Sin olores!","5.0 de 5 estrellas","","0","18 lb","empaque estándar"
"RK0I582O6P2AQ","LCC","Me parecieron malisimas. La piedra es mínima. No absorbe y en cambio se queda dura, luego se hace muy difícil de limpiar. No las recomiemdo para nada!","Revisado en México el 6 de noviembre de 2021","No las recomiendo para nada","2.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R3CCURMRQ6Y9PR","Jorge Lara","No me gusto porque por el costo y lo que me ofreció es va relacionado. Compro un bote con 19kg y me cuesta 320 pesos este costo 250 solo con 8kg y no es mejor que la de 19 kg","Revisado en México el 22 de octubre de 2021","Muy cara y sin valor agregado","2.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R3PS46YV8W4AB7","C.L.","Para empezar a enseñar a los gatos a usar el arenero quise buscar un producto que no tuviera aroma por si a ellos no les agradaba.
Ésta arena me parece bien.
Aglutina bien, se hace una capa dura que es muy fácil de limpiar pero a veces queda una capa pastosa que sí batallo en quitar... tal vez tenga que ver con la profundidad o que no pongo suficiente arena en la caja.
El aroma sí lo enmascara, excepto cuando apenas están usando la arena o si uno no entierra lo que hace. Limpio dos veces al día y sin problema.
Pero con cuatro gatitos no me rinde, la bolsa me dura diez días así que seguiré buscando otras opciones.","Revisado en México el 14 de octubre de 2021","Buena pero no me rinde","4.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R1AH8RJQCHBMUD","terry tepper","Me gusta esta arena porque no larga mucho polvo y es muy fácil de remover las pelotitas mojadas sin que se rompan tampoco da olor una vez que orinan Los Gatos yo tengo dos que comparten la misma caja lo recomiendo a todos los que tienen sus gatitos","Revisado en México el 10 de agosto de 2021","No levanta polvo","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R1F9CZ6C3ZLWV1","Francisco Javier Pérez","Es buena arena, para no tener fragancia, encapsula bastante bien el aroma aunque no dura el mes que dice. A los 15 días la arena ya luce sucia a pesar de ser limpiada continuamente. Sí tiene polvo y sí se pega a las patas del gato. Aglutina bien cuando la cama de arena es grande. Sí no lo es, todo se va al fondo y se vuelve como pastosa. Pero con una buena cama, se forma una especie de piedra y se limpia muy bien.

Es cara a comparación de otras, pero tiene ventaja de ser hipo alergénica para Gatos sensibles y sin fragancias o químicos añadidos.","Revisado en México el 31 de marzo de 2021","Buena para Gatos sensibles, para Gatos “normales” podrías optar por una de menor costo.","4.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R2LNAFZ085YLP3","Lucía Cornejo","Lo primero que tengo que decir es que es muy duradera, el costal que tengo ya aguantó para 6 meses, aunque ya compré el siguiente como repuesto. Absorbe muy bien la orina, por lo que puede durarte más de un mes, retirando los sólidos diario (eso incluye la ""piedra"" de orina aglutinada), lo que la hace mejor que las marcas baratas, que al no aglutinar, dejan que la orina se acumule en el fondo y empiece a oler. Espero que nunca descontinuen su venta para México, ¡porque no sabría que hacer sin ella!","Revisado en México el 17 de diciembre de 2020","La mejor arena del mundo mundial.","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
